solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_GUB_COVER;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
GUROBI;2Cap10.txt;600;14,71;0;16043,0;2969,6;2969,6;200;7087;14074;200;7087;14074;2206,8;7125,8;2206,8;2918,51794;3050,8;0,0;48;153;124;32;;114;32;10;48;153;124;32;;;114;32;10;48;153;124;32;;;;114;32;10;48;153;124;32;;114;32;10
CBC;2Cap10.txt;600;184,01;0;10576;2969,6;2969,6;200;7087;14074;200;7087;14074;2921,6249;3794,7;2921,6249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;2Cap20.txt;120;15,8;0;10374,0;2224,2;2223,9844433;200;7087;14074;200;4835;9570;0,0;55289,7;0,0;2172,8881;2436,9;1,83;162;720;22;11;;70;;44;162;720;22;11;;;70;;44;162;720;22;11;;;;70;;44;162;720;22;11;;70;;44
GUROBI;2Cap20.txt;120;18,34;0;14653,0;2224,2;2224,2;200;7087;14074;200;7087;14074;1411,2;6091,0;1411,2;2150,53884;2564,5;0,0;100;262;127;27;;156;39;4;100;262;127;27;;;156;39;4;100;262;127;27;;;;156;39;4;100;262;127;27;;156;39;4
CBC;2Cap20.txt;120;119,91;3,4055359456681895;5614;2238,1;2161,8807;200;7087;14074;200;7087;14074;2161,8807;6498,5;2161,8807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;2Cap20.txt;300;15,98;0;10374,0;2224,2;2223,9844433;200;7087;14074;200;4835;9570;0,0;55289,7;0,0;2172,8881;2436,9;1,9;162;720;22;11;;70;;44;162;720;22;11;;;70;;44;162;720;22;11;;;;70;;44;162;720;22;11;;70;;44
GUROBI;2Cap20.txt;300;18,32;0;14653,0;2224,2;2224,2;200;7087;14074;200;7087;14074;1411,2;6091,0;1411,2;2150,53884;2564,5;0,0;100;262;127;27;;156;39;4;100;262;127;27;;;156;39;4;100;262;127;27;;;;156;39;4;100;262;127;27;;156;39;4
CBC;2Cap20.txt;300;176,84;0;7923;2224,2;2224,2;200;7087;14074;200;7087;14074;2161,8807;6498,5;2161,8807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;2Cap20.txt;600;15,87;0;10374,0;2224,2;2223,9844433;200;7087;14074;200;4835;9570;0,0;55289,7;0,0;2172,8881;2436,9;1,85;162;720;22;11;;70;;44;162;720;22;11;;;70;;44;162;720;22;11;;;;70;;44;162;720;22;11;;70;;44
GUROBI;2Cap20.txt;600;18,32;0;14653,0;2224,2;2224,2;200;7087;14074;200;7087;14074;1411,2;6091,0;1411,2;2150,53884;2564,5;0,0;100;262;127;27;;156;39;4;100;262;127;27;;;156;39;4;100;262;127;27;;;;156;39;4;100;262;127;27;;156;39;4
CBC;2Cap20.txt;600;176,2;0;7923;2224,2;2224,2;200;7087;14074;200;7087;14074;2161,8807;6498,5;2161,8807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;2Cap30.txt;120;14,43;0;8201,0;2015,7;2015,5003875;200;7087;14074;200;7053;14006;0,0;76619,3;0,0;1924,5711;2126,8;2,94;190;702;18;10;;92;;32;190;702;18;10;;;92;;32;190;702;18;10;;;;92;;32;190;702;18;10;;92;;32
GUROBI;2Cap30.txt;120;26,38;0;14607,0;2015,7;2015,7;200;7087;14074;200;7087;14074;1079,4;6170,2;1079,4;1895,23285;2384,7;0,0;181;390;140;23;;147;58;4;181;390;140;23;;;147;58;4;181;390;140;23;;;;147;58;4;181;390;140;23;;147;58;4
CBC;2Cap30.txt;120;119,93;4,766195366373967;4283;2015,7;1919,6278;200;7087;14074;200;7087;14074;1919,6278;5759,3;1919,6278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;2Cap30.txt;300;14,39;0;8201,0;2015,7;2015,5003875;200;7087;14074;200;7053;14006;0,0;76619,3;0,0;1924,5711;2126,8;2,9;190;702;18;10;;92;;32;190;702;18;10;;;92;;32;190;702;18;10;;;;92;;32;190;702;18;10;;92;;32
GUROBI;2Cap30.txt;300;26,44;0;14607,0;2015,7;2015,7;200;7087;14074;200;7087;14074;1079,4;6170,2;1079,4;1895,23285;2384,7;0,0;181;390;140;23;;147;58;4;181;390;140;23;;;147;58;4;181;390;140;23;;;;147;58;4;181;390;140;23;;147;58;4
CBC;2Cap30.txt;300;161,11;0;5073;2015,7;2015,7;200;7087;14074;200;7087;14074;1919,6278;5759,3;1919,6278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;2Cap30.txt;600;14,48;0;8201,0;2015,7;2015,5003875;200;7087;14074;200;7053;14006;0,0;76619,3;0,0;1924,5711;2126,8;2,98;190;702;18;10;;92;;32;190;702;18;10;;;92;;32;190;702;18;10;;;;92;;32;190;702;18;10;;92;;32
GUROBI;2Cap30.txt;600;26,42;0;14607,0;2015,7;2015,7;200;7087;14074;200;7087;14074;1079,4;6170,2;1079,4;1895,23285;2384,7;0,0;181;390;140;23;;147;58;4;181;390;140;23;;;147;58;4;181;390;140;23;;;;147;58;4;181;390;140;23;;147;58;4
CBC;2Cap30.txt;600;160,82;0;5073;2015,7;2015,7;200;7087;14074;200;7087;14074;1919,6278;5759,3;1919,6278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;2Cap40.txt;120;13,48;0;7599,0;1959,9;1959,7702929;200;7087;14074;200;7044;13988;0,0;96312,1;0,0;1857,2783;2068,4;3,18;266;643;16;14;;75;;20;266;643;16;14;;;75;;20;266;643;16;14;;;;75;;20;266;643;16;14;;75;;20
GUROBI;2Cap40.txt;120;12,41;0;4572,0;1959,9;1959,9;200;7087;14074;200;7087;14074;896,7;5678,6;896,7;1813,76194;2443,2;0,0;268;438;25;29;;103;32;4;268;438;25;29;;;103;32;4;268;438;25;29;;;;103;32;4;268;438;25;29;;103;32;4
CBC;2Cap40.txt;120;119,95;8,197124189476805;3776;2020,3;1854,6935;200;7087;14074;200;7087;14074;1854,6935;6042,5;1854,6935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;2Cap40.txt;300;13,53;0;7599,0;1959,9;1959,7702929;200;7087;14074;200;7044;13988;0,0;96312,1;0,0;1857,2783;2068,4;3,18;266;643;16;14;;75;;20;266;643;16;14;;;75;;20;266;643;16;14;;;;75;;20;266;643;16;14;;75;;20
GUROBI;2Cap40.txt;300;12,4;0;4572,0;1959,9;1959,9;200;7087;14074;200;7087;14074;896,7;5678,6;896,7;1813,76194;2443,2;0,0;268;438;25;29;;103;32;4;268;438;25;29;;;103;32;4;268;438;25;29;;;;103;32;4;268;438;25;29;;103;32;4
CBC;2Cap40.txt;300;211,28;0;6345;1959,9;1959,9;200;7087;14074;200;7087;14074;1854,6935;6042,5;1854,6935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;2Cap40.txt;600;13,56;0;7599,0;1959,9;1959,7702929;200;7087;14074;200;7044;13988;0,0;96312,1;0,0;1857,2783;2068,4;3,18;266;643;16;14;;75;;20;266;643;16;14;;;75;;20;266;643;16;14;;;;75;;20;266;643;16;14;;75;;20
GUROBI;2Cap40.txt;600;12,45;0;4572,0;1959,9;1959,9;200;7087;14074;200;7087;14074;896,7;5678,6;896,7;1813,76194;2443,2;0,0;268;438;25;29;;103;32;4;268;438;25;29;;;103;32;4;268;438;25;29;;;;103;32;4;268;438;25;29;;103;32;4
CBC;2Cap40.txt;600;211,45;0;6345;1959,9;1959,9;200;7087;14074;200;7087;14074;1854,6935;6042,5;1854,6935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;2Cap50.txt;120;13,75;0;7202,0;1950,5;1950,3428227;200;7087;14074;200;7087;14074;0,0;117442,6;0,0;1847,5033;2088,1;3,47;295;605;18;8;;82;;26;295;605;18;8;;;82;;26;295;605;18;8;;;;82;;26;295;605;18;8;;82;;26
GUROBI;2Cap50.txt;120;11,92;0;4506,0;1950,5;1950,5;200;7087;14074;200;7087;14074;778,9;5678,3;778,9;1804,26333;2415,6;0,0;304;433;22;29;;105;48;3;304;433;22;29;;;105;48;3;304;433;22;29;;;;105;48;3;304;433;22;29;;105;48;3
CBC;2Cap50.txt;120;108,56;0;2879;1950,5;1950,5;200;7087;14074;200;7087;14074;1846,8011;5753,3;1846,8011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;2Cap50.txt;300;13,66;0;7202,0;1950,5;1950,3428227;200;7087;14074;200;7087;14074;0,0;117442,6;0,0;1847,5033;2088,1;3,36;295;605;18;8;;82;;26;295;605;18;8;;;82;;26;295;605;18;8;;;;82;;26;295;605;18;8;;82;;26
GUROBI;2Cap50.txt;300;11,93;0;4506,0;1950,5;1950,5;200;7087;14074;200;7087;14074;778,9;5678,3;778,9;1804,26333;2415,6;0,0;304;433;22;29;;105;48;3;304;433;22;29;;;105;48;3;304;433;22;29;;;;105;48;3;304;433;22;29;;105;48;3
CBC;2Cap50.txt;300;108,47;0;2879;1950,5;1950,5;200;7087;14074;200;7087;14074;1846,8011;5753,3;1846,8011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;2Cap50.txt;600;13,63;0;7202,0;1950,5;1950,3428227;200;7087;14074;200;7087;14074;0,0;117442,6;0,0;1847,5033;2088,1;3,39;295;605;18;8;;82;;26;295;605;18;8;;;82;;26;295;605;18;8;;;;82;;26;295;605;18;8;;82;;26
GUROBI;2Cap50.txt;600;11,91;0;4506,0;1950,5;1950,5;200;7087;14074;200;7087;14074;778,9;5678,3;778,9;1804,26333;2415,6;0,0;304;433;22;29;;105;48;3;304;433;22;29;;;105;48;3;304;433;22;29;;;;105;48;3;304;433;22;29;;105;48;3
CBC;2Cap50.txt;600;108,3;0;2879;1950,5;1950,5;200;7087;14074;200;7087;14074;1846,8011;5753,3;1846,8011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap10.txt;120;10,22;0;8719,0;3053,3;3053,0014408;200;7070;14040;200;2567;5034;0,0;35485,3;0,0;3016,3991;3128,5;2,0;103;479;10;13;;33;;33;103;479;10;13;;;33;;33;103;479;10;13;;;;33;;33;103;479;10;13;;33;;33
GUROBI;3Cap10.txt;120;14,55;0;14158,0;3053,3;3053,3;200;7070;14040;200;7070;14040;2337,1;7433,9;2337,1;2999,55841;3166,9;0,0;49;155;130;37;;122;28;11;49;155;130;37;;;122;28;11;49;155;130;37;;;;122;28;11;49;155;130;37;;122;28;11
